id,title,artist_channel,language,era,popularity,views,likes,duration_seconds,duration,published_at,youtube_video_id,youtube_url
366,Muddat | heart touching Hindi song | Hindi melody song,Tune Host,Hindi,2020s,Low,915,15,193,3:13,2026-08-23T01:30:09Z,s6xFjW-JaAI,https://www.youtube.com/watch?v=s6xFjW-JaAI
367,Perfect (Acoustic),Ed Sheeran - Topic,English/International,2010s,Very Popular,38723433,286744,261,4:21,2017-11-09T10:21:54Z,9vDIzVuDzTs,https://www.youtube.com/watch?v=9vDIzVuDzTs
368,SANAM - Lag Jaa Gale - Acoustic,Sanam,English/International,2010s,Top Hit,154931130,1606357,281,4:41,2014-05-12T15:34:23Z,HnLtNrvfZTU,https://www.youtube.com/watch?v=HnLtNrvfZTU
369,Tera Mera Pyar Amar (Acoustic) | Haniya Rehman ft Rahi Khan | Timeless Classic Love Song,Haniya Rehman,English/International,2020s,Medium,412738,0,234,3:54,2026-01-21T09:15:01Z,HGDLLeT0liM,https://www.youtube.com/watch?v=HGDLLeT0liM
370,Ehsaas,Faheem Abdullah - Topic,English/International,2020s,Very Popular,66434697,542958,233,3:53,2025-04-08T10:03:22Z,8gq3S53aH3Y,https://www.youtube.com/watch?v=8gq3S53aH3Y
371,Ritviz - Sage [Official Music Video],RITVIZ,English/International,2010s,Top Hit,100817009,1551359,245,4:05,2019-06-30T05:58:46Z,_kUrW9SEaJc,https://www.youtube.com/watch?v=_kUrW9SEaJc
372,@SaiAbhyankkar - Katchi Sera (Music Video) | Samyuktha | Ken Royson | Think Indie,Think Music India,English/International,2020s,Top Hit,271305232,1934134,185,3:05,2024-01-22T13:28:28Z,VU23OPQ1Pmc,https://www.youtube.com/watch?v=VU23OPQ1Pmc
373,Woh - Khatth ft. Sthiti (Official Music Video),Khatth,English/International,2020s,Popular,5671306,114509,232,3:52,2025-06-18T12:30:06Z,G8nlhcmDXNE,https://www.youtube.com/watch?v=G8nlhcmDXNE
374,[New Hindi Song] Taba Chake - Khud Ko Miloon (Official Music Video),Taba Chake,Hindi,2020s,Popular,2585830,73103,240,4:00,2025-08-19T18:30:07Z,BbcLJv1Rnoc,https://www.youtube.com/watch?v=BbcLJv1Rnoc
375,Nafrat Official Music Video | Darshan Raval | Sandipa D | Akshay K | Naushad Khan | Indie Music,Indie Music Label,English/International,2020s,Very Popular,31570058,397974,218,3:38,2025-10-18T10:30:07Z,25qkuX8qzQo,https://www.youtube.com/watch?v=25qkuX8qzQo
376,JAAM - Hardik Bhardwaj ( Official Audio ) - indie Love Song,Hardik Bhardwaj Official,English/International,2020s,Popular,2328515,42848,146,2:26,2026-05-08T14:30:06Z,vReY9vhye6Y,https://www.youtube.com/watch?v=vReY9vhye6Y
377,Udi Udi,Aneesh - Topic,English/International,2020s,Very Popular,34605528,475136,162,2:42,2026-03-12T05:40:28Z,SBOwcGnwuKM,https://www.youtube.com/watch?v=SBOwcGnwuKM
378,Jaane Na Tu (Official Music Video) : Bhoomi | Almost Loved - EP | UR Debut | Latest Hindi Indie Song,UR DEBUT,Hindi,2020s,Very Popular,31117220,307645,191,3:11,2025-09-30T09:30:29Z,xeOttl1d2bo,https://www.youtube.com/watch?v=xeOttl1d2bo
379,"Dooba Dooba - Boondein | Silk Route | Mohit Chauhan, Kem Trivedi, Atul Mittal",SonyMusicIndiaVEVO,English/International,2020s,Popular,8589856,71205,311,5:11,2022-03-30T07:00:10Z,ecPMVO7JuTo,https://www.youtube.com/watch?v=ecPMVO7JuTo
